,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
52,53,株式会社メディアジーン,web系SE・PG（自社製品）,"PHP,Python,Java,Go",,2019/9/2,"1,500万円",5億円,〇,×,https://www.geekly.co.jp/search/detail/480583
53,54,株式会社SyncThought,web系SE・PG（自社製品）,Java,,2019/9/3,"9,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/240969
54,55,株式会社トランビ,web系SE・PG（自社製品）,PHP,✓,2019/9/3,2億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/520010
55,56,株式会社エス・エム・エス,web系SE・PG（自社製品）,該当なし,✓,2019/8/27,22億800万円,"308億3,600万円",〇,〇,https://www.geekly.co.jp/search/detail/530763
56,57,株式会社エス・エム・エス,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",✓,2019/8/27,22億800万円,"308億3,600万円",〇,〇,https://www.geekly.co.jp/search/detail/530765
57,58,株式会社じげん,web系SE・PG（自社製品）,Ruby,,2019/5/9,"25億2,700万円","102億6,700万円",〇,〇,https://www.geekly.co.jp/search/detail/218957
58,59,株式会社ビズリーチ,web系SE・PG（自社製品）,Kotlin,✓,2019/7/8,41億円,"156億5,800万円",〇,×,https://www.geekly.co.jp/search/detail/487245
59,60,株式会社エス・エム・エス,web系SE・PG（自社製品）,"Ruby,PHP",,2019/8/27,22億800万円,"308億3,600万円",〇,〇,https://www.geekly.co.jp/search/detail/530767
60,61,株式会社マクロミル,web系SE・PG（自社製品）,該当なし,,2019/9/3,"8億8,000万円","400億2,400万円",〇,×,https://www.geekly.co.jp/search/detail/429136
61,62,株式会社TRUSTDOCK,web系SE・PG（自社製品）,Ruby,,2019/9/2,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/499537
62,63,株式会社イグニス,web系SE・PG（自社製品）,該当なし,,2018/12/26,"22億3,217万円","48億7,400万円",〇,×,https://www.geekly.co.jp/search/detail/385873
63,64,シンク・ロジスティクス株式会社,web系SE・PG（自社製品）,該当なし,,2019/7/5,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/461906
64,65,コーエーテクモホールディングス株式会社,web系SE・PG（自社製品）,"PHP,Java,JavaScript",✓,2019/8/5,150億円,"389億6,800万円",〇,×,https://www.geekly.co.jp/search/detail/315218
65,66,コインチェック株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/9/11,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/461907
66,67,株式会社ディー・エヌ・エー,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,Go",,2019/9/2,"103億9,700万円","1,393億9,000万円",〇,×,https://www.geekly.co.jp/search/detail/471127
67,68,株式会社QLife,web系SE・PG（自社製品）,該当なし,✓,2019/8/28,"1億4,961万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/301657
68,69,株式会社イグニス,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript,Go",✓,2019/7/5,"22億3,217万円","48億7,400万円",〇,×,https://www.geekly.co.jp/search/detail/501340
69,70,株式会社サイバーエージェント,web系SE・PG（自社製品）,該当なし,,2019/8/28,72億332万円,"3,106億6,500万円",〇,×,https://www.geekly.co.jp/search/detail/344160
70,71,VIVITA株式会社,web系SE・PG（自社製品）,"Java,JavaScript",,2019/6/25,"1億3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/436321
71,72,株式会社ソフトギア,ゲームプログラマ（コンシューマー）,"C++,Java",,2019/4/23,"5,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/391778
72,73,株式会社サイバーエージェント,web系SE・PG（自社製品）,該当なし,,2019/8/28,72億332万円,"3,106億6,500万円",〇,×,https://www.geekly.co.jp/search/detail/344163
73,74,株式会社ココペリ,web系SE・PG（自社製品）,"PHP,Java",✓,2019/8/2,"1億9,945万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/392803
74,75,株式会社ジーニー,web系SE・PG（自社製品）,該当なし,,2019/4/26,"7億6,600万円","143億8,000万円",〇,×,https://www.geekly.co.jp/search/detail/461926
75,76,GMOインターネット株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/9/3,50億円,"1,542億5,600万円",〇,〇,https://www.geekly.co.jp/search/detail/168550
76,77,株式会社SUPER STUDIO,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",,2019/9/9,800万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/512870
