,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
323,324,株式会社オウチーノ,web系SE・PG（自社製品）,"Ruby,PHP,Java",✓,2019/8/8,"8億2,369万円","12億9,600万円",〇,×,https://www.geekly.co.jp/search/detail/520000
324,325,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/7/3,"8億3,771万円","25億4,600万円",〇,×,https://www.geekly.co.jp/search/detail/458051
325,326,株式会社MUGENUP,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,Go",✓,2019/7/19,"8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/461892
326,327,スタディプラス株式会社,web系SE・PG（自社製品）,該当なし,,2019/5/30,"9億2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/480068
327,328,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/6/4,3億50万円,25億428万円,〇,×,https://www.geekly.co.jp/search/detail/445766
328,329,ノイン株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/7/3,"4億9,600万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/458054
329,330,社名非公開企業,web系SE・PG（自社製品）,Ruby,✓,2019/9/9,"1億1,000万円",,〇,×,https://www.geekly.co.jp/search/detail/538183
330,331,SB C&S株式会社,web系SE・PG（自社製品）,Python,,2019/5/20,5億円,"3,028億円",〇,×,https://www.geekly.co.jp/search/detail/474951
331,332,フェアリーデバイセズ株式会社,web系SE・PG（自社製品）,"Python,C++",,2019/6/18,"3,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/246599
332,333,SASInstituteJapan株式会社,システムコンサルタント,C++,,2019/6/29,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/336968
333,334,株式会社パネイル,web系SE・PG（自社製品）,Python,,2019/8/15,"31億2,463万円",81億円,〇,×,https://www.geekly.co.jp/search/detail/355912
334,335,社名非公開企業,web系SE・PG（自社製品）,Python,,2019/6/12,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/422472
335,336,株式会社コネクトム,web系SE・PG（自社製品）,Ruby,,2019/9/3,"7,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520264
336,337,社名非公開企業,web系SE・PG（自社製品）,Java,✓,2019/9/13,1億円,非公開,〇,〇,https://www.geekly.co.jp/search/detail/540489
337,338,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/2/8,"4,540万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/302923
338,339,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/7/31,"9,900万円",375億円,〇,×,https://www.geekly.co.jp/search/detail/446283
339,340,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/7/31,2億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/515659
340,341,社名非公開企業,web系SE・PG（自社製品）,Ruby,✓,2019/9/3,"3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/527436
341,342,グリー株式会社,web系SE・PG（自社製品）,該当なし,,2019/8/27,23億円,"643億6,900万円",〇,〇,https://www.geekly.co.jp/search/detail/530764
342,343,ギークス株式会社,web系SE・PG（自社製品）,該当なし,,2019/4/4,"3億2,019万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/241484
343,344,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/4/8,2億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/307020
344,345,社名非公開企業,web系SE・PG（自社製品）,"Python,Kotlin",,2019/4/2,"1,100万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/177484
345,346,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/8/5,"3,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/515660
346,347,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/9/6,"3,000万円","13億2,500万円",〇,×,https://www.geekly.co.jp/search/detail/590
347,348,パーソルキャリア株式会社,web系SE・PG（自社製品）,該当なし,,2019/8/6,"11億2,700万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/491086
348,349,株式会社リブセンス,web系SE・PG（自社製品）,該当なし,✓,2019/3/5,"2億3,141万円","63億5,000万円",〇,〇,https://www.geekly.co.jp/search/detail/338512
349,350,株式会社アイリッジ,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,Go",,2019/5/9,"3億6,800万円","14億9,300万円",〇,〇,https://www.geekly.co.jp/search/detail/406608
350,351,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/5/16,"10億3,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/401234
351,352,株式会社ZERO TO ONE,web系SE・PG（自社製品）,"PHP,Java",,2019/6/27,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/1619
352,353,株式会社富士山マガジンサービス,web系SE・PG（自社製品）,"Ruby,Java,JavaScript",,2019/8/7,"2億6,519万円","34億6,600万円",〇,×,https://www.geekly.co.jp/search/detail/338515
353,354,パーソルキャリア株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/3,"11億2,700万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/491091
354,355,株式会社アールワークス,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/5/9,"4億2,540万円","13億9,200万円",〇,×,https://www.geekly.co.jp/search/detail/436819
355,356,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/8/5,"1,000万円",,〇,×,https://www.geekly.co.jp/search/detail/509011
356,357,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/9/13,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/540500
357,358,ナビプラス株式会社,web系SE・PG（自社製品）,Ruby,,2019/8/1,"2億2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/2901
358,359,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/5/9,"6,300万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/422486
359,360,社名非公開企業,web系SE・PG（自社製品）,"Python,Go",,2019/9/2,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/171350
360,361,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/3,"128億1,200万円","3,129億6,900万円",〇,×,https://www.geekly.co.jp/search/detail/1111
361,362,株式会社オープンエイト,web系SE・PG（自社製品）,Ruby,,2019/5/16,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/368983
362,363,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/6/4,"3億1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/445783
363,364,株式会社Cygames,web系SE・PG（自社製品）,該当なし,,2019/9/2,"1億2,480万円","922億9,100万円",〇,×,https://www.geekly.co.jp/search/detail/534361
364,365,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/11,"5億5,715万円","150億9,300万円",〇,×,https://www.geekly.co.jp/search/detail/349785
365,366,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/7/25,"6,250万円","13億1,000万円",〇,×,https://www.geekly.co.jp/search/detail/385881
366,367,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/4/14,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/455257
367,368,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/9/12,"9億1,598万円","548億3,200万円",〇,×,https://www.geekly.co.jp/search/detail/520282
368,369,デジタル・アドバタイジング・コンソーシアム株式会社,web系SE・PG（自社製品）,"PHP,C++,Java,JavaScript",,2019/5/9,"40億3,100万円",,〇,×,https://www.geekly.co.jp/search/detail/603
369,370,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/9/3,"5,000万円","141億2,000万円",〇,×,https://www.geekly.co.jp/search/detail/477275
370,371,株式会社フォトラクション,web系SE・PG（自社製品）,該当なし,,2019/9/5,2億100万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/515675
371,372,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/4/14,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/455259
372,373,株式会社FROMJAPAN,web系SE・PG（自社製品）,PHP,,2019/7/30,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/401244
373,374,パーソルキャリア株式会社,web系SE・PG（自社製品）,該当なし,,2019/8/6,"11億2,700万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/491100
374,375,BASE株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,Go",✓,2019/9/1,"25億9,224万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/504668
375,376,社名非公開企業,web系SE・PG（自社製品）,Ruby,✓,2019/7/11,"5億1,000万円","15億5,900万円",〇,×,https://www.geekly.co.jp/search/detail/62812
376,377,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/9/3,"1億9,600万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/459613
377,378,GMOアドパートナーズ株式会社,web系SE・PG（自社製品）,"Java,JavaScript",✓,2019/9/6,13億156万円,"319億6,100万円",〇,×,https://www.geekly.co.jp/search/detail/494430
378,379,株式会社PKSHA Technology,web系SE・PG（自社製品）,Ruby,,2019/8/16,"25億1,000万円",15億300万円,〇,×,https://www.geekly.co.jp/search/detail/519518
379,380,社名非公開企業,オープン系SE・PG（自社製品）,"PHP,C++,Java",✓,2019/9/10,"2億5,862万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/538719
380,381,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python,C++,Java,JavaScript",,2019/2/18,"3,510万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/327776
381,382,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/7/23,"1,000万円",23億円,〇,×,https://www.geekly.co.jp/search/detail/439648
382,383,株式会社フォトラクション,web系SE・PG（自社製品）,Python,,2019/9/11,2億100万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/515680
383,384,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/9/12,"9億1,598万円","548億3,200万円",〇,×,https://www.geekly.co.jp/search/detail/520288
384,385,エムスリー株式会社,web系SE・PG（自社製品）,"Ruby,Java,JavaScript",✓,2019/6/13,"36億7,232万円","944億7,100万円",〇,×,https://www.geekly.co.jp/search/detail/285537
385,386,株式会社ZMP,web系SE・PG（自社製品）,"Ruby,Python,Go",,2019/8/6,13億291万円,"9億8,500万円",〇,×,https://www.geekly.co.jp/search/detail/494433
386,387,社名非公開企業,web系SE・PG（自社製品）,Ruby,✓,2019/4/3,"37億1,568万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/11362
387,388,社名非公開企業,web系SE・PG（自社製品）,Go,✓,2019/4/8,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/287842
388,389,株式会社クイック,web系SE・PG（自社製品）,PHP,,2019/9/12,"3億5,131万円","191億7,300万円",〇,×,https://www.geekly.co.jp/search/detail/292706
389,390,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/5/9,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/301666
390,391,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/4/1,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/119907
391,392,ナイル株式会社,web系SE・PG（自社製品）,"Ruby,PHP",✓,2019/9/10,"18億5,861万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/467813
392,393,デジタル・アドバタイジング・コンソーシアム株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/6/4,"40億3,100万円",,〇,×,https://www.geekly.co.jp/search/detail/477285
393,394,社名非公開企業,web系SE・PG（自社製品）,"Python,C++,Java,Kotlin",,2019/9/3,30億円,"4,334億円",〇,×,https://www.geekly.co.jp/search/detail/532070
394,395,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/6/10,"4億8,363万円","5億6,100万円",〇,×,https://www.geekly.co.jp/search/detail/471142
395,396,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/2/15,"3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/1895
396,397,株式会社メディカル・コンシェルジュ,web系SE・PG（自社製品）,PHP,,2019/3/28,"2億1,000万円",540億円,〇,×,https://www.geekly.co.jp/search/detail/2409
397,398,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Java",,2019/9/3,"7,250万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/494441
398,399,パーソルキャリア株式会社,web系SE・PG（自社製品）,該当なし,,2019/8/8,"11億2,700万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520041
399,400,社名非公開企業,web系SE・PG（自社製品）,"Python,Java",,2019/9/3,100万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/471146
400,401,社名非公開企業,web系SE・PG（自社製品）,該当なし,✓,2019/9/2,"2,140万円","19億6,612万円",〇,×,https://www.geekly.co.jp/search/detail/480618
401,402,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/7/11,2億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/491114
402,403,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/3/18,"1億8,800万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/393835
403,404,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript",,2019/6/10,500万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/341867
404,405,ナイル株式会社,web系SE・PG（自社製品）,PHP,,2019/9/12,"18億5,861万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/467820
405,406,株式会社ジョリーグッド,web系SE・PG（自社製品）,Ruby,,2019/5/9,"7億2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/426351
406,407,社名非公開企業,web系SE・PG（自社製品）,該当なし,✓,2019/7/8,"8,700万円","18億2,200万円",〇,×,https://www.geekly.co.jp/search/detail/474992
407,408,社名非公開企業,web系SE・PG（自社製品）,Go,,2019/9/3,"3億5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/487280
408,409,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/2/25,"1億9,569万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/242800
409,410,コニカミノルタ株式会社,web系SE・PG（自社製品）,"Python,C++,Java,Go",,2019/6/18,"375億1,900万円","1兆317億4,000万円",〇,×,https://www.geekly.co.jp/search/detail/491121
410,411,株式会社ウェルビー,web系SE・PG（自社製品）,"PHP,Java",,2019/9/10,"3億3,240万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/538738
411,412,Inagora株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/5/27,105億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/238706
412,413,株式会社アプリックス,web系SE・PG（自社製品）,該当なし,,2019/5/9,"138億8,200万円","15億2,600万円",〇,×,https://www.geekly.co.jp/search/detail/307826
413,414,SB C&S株式会社,web系SE・PG（自社製品）,Ruby,,2019/5/13,5億円,"3,028億円",〇,×,https://www.geekly.co.jp/search/detail/444530
414,415,JapanTaxi株式会社,web系SE・PG（自社製品）,Ruby,✓,2019/9/4,"129億1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/142451
415,416,ユリシーズ株式会社,web系SE・PG（自社製品）,Go,,2018/12/10,"2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/362100
416,417,合同会社DMM.com,web系SE・PG（自社製品）,該当なし,,2019/9/3,"1,000万円","2,114億円",〇,×,https://www.geekly.co.jp/search/detail/394357
417,418,社名非公開企業,web系SE・PG（自社製品）,Java,,2019/2/15,"5,000万円","4億4,200万円",〇,×,https://www.geekly.co.jp/search/detail/1653
418,419,株式会社翔泳社,web系SE・PG（自社製品）,"PHP,Java",,2018/10/15,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/341877
419,420,株式会社JX通信社,web系SE・PG（自社製品）,該当なし,,2019/7/31,"6億8,530万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/412533
420,421,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/9/3,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/494453
421,422,ウェブリオ株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,C++,Java",✓,2019/9/11,"8,350万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/504693
422,423,社名非公開企業,web系SE・PG（自社製品）,該当なし,✓,2019/9/3,"4,200万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/527990
423,424,イオンアイビス株式会社,web系SE・PG（自社製品）,PHP,,2019/9/3,"4億9,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/532086
424,425,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/7/17,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/452470
425,426,合同会社DMM.com,web系SE・PG（自社製品）,PHP,,2019/9/3,"1,000万円","2,114億円",〇,×,https://www.geekly.co.jp/search/detail/337271
426,427,株式会社ネットマーケティング,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/5/9,"3億9,172万円","98億6,800万円",〇,×,https://www.geekly.co.jp/search/detail/337527
427,428,株式会社Cygames,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/9/3,"1億2,480万円","922億9,100万円",〇,×,https://www.geekly.co.jp/search/detail/534904
428,429,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/3,"5億7,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/532089
429,430,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/3,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/534905
430,431,社名非公開企業,web系SE・PG（自社製品）,"Java,JavaScript",,2019/9/3,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/494457
431,432,株式会社ファンコミュニケーションズ,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/8/1,"11億7,367万円",391億284万円,〇,〇,https://www.geekly.co.jp/search/detail/386937
432,433,株式会社リブセンス,web系SE・PG（自社製品）,Ruby,,2019/4/5,"2億3,141万円","63億5,000万円",〇,〇,https://www.geekly.co.jp/search/detail/325497
433,434,株式会社コネクトム,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,Go",✓,2019/8/19,"7,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/268410
434,435,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/11,"9,000万円",340億円,〇,×,https://www.geekly.co.jp/search/detail/369530
435,436,株式会社トクバイ,web系SE・PG（自社製品）,該当なし,,2019/3/1,"3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/238970
436,437,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",,2019/5/20,"3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/475005
437,438,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/5/9,"6,300万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/426365
438,439,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/7/11,"5億6,285万円","167億5,800万円",〇,〇,https://www.geekly.co.jp/search/detail/391805
439,440,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/11,"3,275万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/539263
440,441,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java,JavaScript",✓,2019/5/9,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/280959
441,442,アルファアーキテクト株式会社,web系SE・PG（自社製品）,該当なし,,2019/8/6,500万円,,〇,×,https://www.geekly.co.jp/search/detail/483455
442,443,株式会社LegalForce,web系SE・PG（自社製品）,Ruby,,2019/8/6,6億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/496767
443,444,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/8/27,"920億1,800万円","3,370億円",〇,×,https://www.geekly.co.jp/search/detail/512895
444,445,社名非公開企業,web系SE・PG（自社製品）,"Ruby,C++",✓,2019/3/5,"3億2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/386943
445,446,社名非公開企業,web系SE・PG（自社製品）,該当なし,✓,2019/8/2,"5億6,390万円","32億9,900万円",〇,〇,https://www.geekly.co.jp/search/detail/360321
446,447,パーソルキャリア株式会社,web系SE・PG（自社製品）,Java,,2019/8/8,"11億2,700万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/519553
447,448,株式会社アクアビットスパイラルズ,web系SE・PG（自社製品）,PHP,✓,2019/4/11,"1億8,657万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/401794
448,449,株式会社Showcase Gig,web系SE・PG（自社製品）,PHP,✓,2019/5/7,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/211842
449,450,ライブロックテクノロジーズ株式会社,web系SE・PG（自社製品）,Java,,2019/3/27,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/53378
450,451,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript",,2019/2/18,"2,000万円",75億円,〇,×,https://www.geekly.co.jp/search/detail/2947
451,452,社名非公開企業,データベースエンジニア,"Ruby,Python,Java",,2019/9/2,"3億5,000万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/487812
452,453,株式会社ワンダーラスト,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript",,2019/3/11,"12億1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/364420
453,454,sunny株式会社,web系SE・PG（自社製品）,該当なし,,2018/10/17,777万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/353669
454,455,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/8/6,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/491653
455,456,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/3/1,"1,000万円","7億4,200万円",〇,×,https://www.geekly.co.jp/search/detail/238981
456,457,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/5/22,"1億7,200万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/250501
457,458,CBcloud株式会社,web系SE・PG（自社製品）,"Java,JavaScript",,2019/7/3,"4億2,300万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/367238
458,459,株式会社WEBマーケティング総合研究所,web系SE・PG（自社製品）,該当なし,,2019/9/3,"1億8,400万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/524679
459,460,BASE株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/11,"25億9,224万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/501895
460,461,合同会社DMM.com,web系SE・PG（自社製品）,該当なし,,2019/9/3,"1,000万円","2,114億円",〇,×,https://www.geekly.co.jp/search/detail/374151
461,462,株式会社PR TIMES,web系SE・PG（自社製品）,該当なし,,2019/4/5,"4億1,283万円","17億1,700万円",〇,×,https://www.geekly.co.jp/search/detail/293000
462,463,株式会社オウケイウェイヴ,web系SE・PG（自社製品）,該当なし,,2019/7/26,"9億8,400万円",36億円,〇,×,https://www.geekly.co.jp/search/detail/512904
463,464,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/2/14,"1,040万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/325513
464,465,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Java,JavaScript",✓,2019/8/26,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/1674
465,466,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/5,4億137万円,"27億8,738万円",〇,×,https://www.geekly.co.jp/search/detail/285578
466,467,株式会社ポケラボ,web系SE・PG（自社製品）,"PHP,Java",✓,2019/3/27,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/369546
467,468,株式会社EPARKグルメ,web系SE・PG（自社製品）,PHP,,2019/8/23,1億円,10億円,〇,×,https://www.geekly.co.jp/search/detail/528012
468,469,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/9/2,"2億1,800万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/530828
469,470,ナイル株式会社,web系SE・PG（自社製品）,"Ruby,PHP",,2019/9/10,"18億5,861万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/467852
470,471,社名非公開企業,web系SE・PG（自社製品）,"Python,Java",,2019/9/2,860億円,"15兆3,611億4,600万円",〇,×,https://www.geekly.co.jp/search/detail/483469
471,472,株式会社EPARKグルメ,web系SE・PG（自社製品）,該当なし,,2019/8/23,1億円,10億円,〇,×,https://www.geekly.co.jp/search/detail/528014
472,473,株式会社Wright Flyer Live Entertainment,ゲームプログラマ（ソーシャル・オンライン）,Go,✓,2019/9/13,非公開,非公開,〇,〇,https://www.geekly.co.jp/search/detail/532110
473,474,アスタミューゼ株式会社,web系SE・PG（自社製品）,Java,,2019/6/9,5億123万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/211854
474,475,株式会社enish,web系SE・PG（自社製品）,PHP,✓,2019/8/9,"11億6,900万円","43億8,200万円",〇,×,https://www.geekly.co.jp/search/detail/520846
475,476,アスタミューゼ株式会社,web系SE・PG（自社製品）,Java,,2019/6/20,5億123万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/211855
476,477,株式会社クインテット,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript",,2019/3/13,"1,620万円",17億円,〇,×,https://www.geekly.co.jp/search/detail/374159
477,478,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/6/4,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/446863
478,479,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Python,Java,Go",,2019/3/29,150万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/62351
479,480,株式会社Wright Flyer Live Entertainment,制御系・組み込み・ファームウェア開発,該当なし,✓,2019/9/13,非公開,非公開,〇,〇,https://www.geekly.co.jp/search/detail/532112
480,481,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/2,860億円,"15兆3,611億4,600万円",〇,×,https://www.geekly.co.jp/search/detail/483473
481,482,株式会社FRONTEO,web系SE・PG（自社製品）,該当なし,✓,2019/9/3,"25億5,900万円","112億9,200万円",〇,×,https://www.geekly.co.jp/search/detail/409234
482,483,株式会社FRONTEO,web系SE・PG（自社製品）,Java,,2019/8/6,"25億5,900万円","112億9,200万円",〇,×,https://www.geekly.co.jp/search/detail/437650
483,484,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/7/9,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/478868
484,485,株式会社ソリューションウェア,web系SE・PG（自社製品）,該当なし,,2018/11/2,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/215189
485,486,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/7/9,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/478869
486,487,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/8/5,255億900万円,"1,406億4,800万円",〇,〇,https://www.geekly.co.jp/search/detail/433045
487,488,株式会社アイキューブドシステムズ,web系SE・PG（自社製品）,Java,,2019/8/5,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/515733
488,489,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Java,JavaScript,Go",,2019/6/25,300万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/359574
489,490,株式会社アイキューブドシステムズ,web系SE・PG（自社製品）,Ruby,,2019/9/3,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/515734
490,491,社名非公開企業,プロジェクトマネージャー（web系）,"Ruby,Java,JavaScript,Go",,2019/9/2,300万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/359575
491,492,Retty株式会社,web系SE・PG（自社製品）,該当なし,,2019/5/9,"11億8,461万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/429719
